language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
cs,v1,1,1,1,a,a,a,unknown,a,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,2,2,se,se,se,unknown,se,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,3,3,v,v,v,unknown,v,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,4,4,na,na,na,unknown,na,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,5,5,je,je,je,unknown,je,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,6,6,to,to,to,unknown,to,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,7,7,že,že,že,unknown,že,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,8,9,s,s,s,unknown,s,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,9,10,z,z,z,unknown,z,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,10,11,si,si,si,unknown,si,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,11,12,do,do,do,unknown,do,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,12,13,jsem,jsem,jsem,unknown,jsem,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,13,14,ale,ale,ale,unknown,ale,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,14,15,o,o,o,unknown,o,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,15,16,i,i,i,unknown,i,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,16,17,tak,tak,tak,unknown,tak,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,17,18,pro,pro,pro,unknown,pro,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,18,19,ve,ve,ve,unknown,ve,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,19,20,za,za,za,unknown,za,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,20,21,co,co,co,unknown,co,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,21,23,k,k,k,unknown,k,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,22,24,jako,jako,jako,unknown,jako,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,23,25,jak,jak,jak,unknown,jak,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,24,26,po,po,po,unknown,po,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,25,27,by,by,by,unknown,by,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,26,28,už,už,už,unknown,už,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,27,29,od,od,od,unknown,od,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,28,31,jsou,jsou,jsou,unknown,jsou,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,29,32,mi,mi,mi,unknown,mi,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,30,33,když,když,když,unknown,když,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,31,34,mě,mě,mě,unknown,mě,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
