language,frequency_list_version,source_rank,token,reason_code
cs,v1,8,00,digit
cs,v1,22,0000,digit
cs,v1,30,000,digit
cs,v1,57,1,digit
cs,v1,59,2,digit
cs,v1,75,3,digit
cs,v1,111,4,digit
cs,v1,130,5,digit
cs,v1,168,6,digit
cs,v1,190,"0,0",digit
cs,v1,204,7,digit
cs,v1,226,0,digit
cs,v1,229,8,digit
cs,v1,285,9,digit
cs,v1,490,"00,0",digit
cs,v1,623,http,web_noise
cs,v1,671,°,punctuation
cs,v1,710,"0,00",digit
cs,v1,829,0.0,digit
cs,v1,1286,"00,00",digit
cs,v1,1491,00.0,digit
cs,v1,1711,google,punctuation
cs,v1,1756,https,web_noise
cs,v1,1952,00.00,digit
cs,v1,2109,00000,digit
cs,v1,2691,apple,punctuation
cs,v1,2858,putin,punctuation
