language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
da,v1,1,1,1,i,i,i,unknown,i,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,2,2,og,og,og,unknown,og,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,3,3,er,er,er,unknown,er,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,4,4,af,af,af,unknown,af,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,5,5,det,det,det,unknown,det,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,6,6,at,at,at,unknown,at,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,7,7,en,en,en,unknown,en,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,8,8,til,til,til,unknown,til,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,9,9,på,på,på,unknown,på,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,10,10,jeg,jeg,jeg,unknown,jeg,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,11,11,har,har,har,unknown,har,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,12,12,for,for,for,unknown,for,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,13,13,ikke,ikke,ikke,unknown,ikke,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,14,14,med,med,med,unknown,med,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,15,15,den,den,den,unknown,den,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,16,16,der,der,der,unknown,der,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,17,17,de,de,de,unknown,de,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,18,18,du,du,du,unknown,du,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,19,19,kan,kan,kan,unknown,kan,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,20,20,som,som,som,unknown,som,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,21,21,så,så,så,unknown,så,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,22,23,et,et,et,unknown,et,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,23,24,var,var,var,unknown,var,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
da,v1,1,24,25,vi,vi,vi,unknown,vi,wordfreq:da,wordfreq_seeded;deterministically_filtered;structurally_curated
