language,frequency_list_version,source_rank,token,reason_code
da,v1,22,00,digit
da,v1,35,0000,digit
da,v1,58,2,digit
da,v1,67,1,digit
da,v1,73,000,digit
da,v1,76,3,digit
da,v1,123,4,digit
da,v1,149,5,digit
da,v1,173,6,digit
da,v1,192,7,digit
da,v1,208,8,digit
da,v1,250,9,digit
da,v1,299,0,digit
da,v1,317,"0,0",digit
da,v1,364,bl.a,contains_dot
da,v1,435,f.eks,contains_dot
da,v1,566,00.000,digit
da,v1,601,"00,0",digit
da,v1,633,0.0,digit
da,v1,642,0.000,digit
da,v1,795,00.00,digit
da,v1,1039,"0,00",digit
da,v1,1040,000.000,digit
da,v1,1047,http,web_noise
da,v1,1300,facebook,punctuation
da,v1,1490,google,punctuation
da,v1,2096,🙂,punctuation
da,v1,2097,0.00,digit
da,v1,2251,m.m,contains_dot
da,v1,2533,"00,00",digit
da,v1,2577,microsoft,punctuation
da,v1,2595,00000,digit
da,v1,2597,apple,punctuation
da,v1,2640,u00,digit
da,v1,2660,co2,digit
da,v1,2938,https,web_noise
