language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
de,v1,1,1,1,die,die,die,unknown,die,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,2,2,der,der,der,unknown,der,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,3,3,und,und,und,unknown,und,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,4,4,in,in,in,unknown,in,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,5,5,das,das,das,unknown,das,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,6,6,ich,ich,ich,unknown,ich,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,7,7,ist,ist,ist,unknown,ist,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,8,8,nicht,nicht,nicht,unknown,nicht,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,9,9,zu,zu,zu,unknown,zu,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,10,10,den,den,den,unknown,den,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,11,11,von,von,von,unknown,von,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,12,12,mit,mit,mit,unknown,mit,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,13,14,es,es,es,unknown,es,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,14,15,ein,ein,ein,unknown,ein,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,15,16,auf,auf,auf,unknown,auf,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,16,17,für,für,für,unknown,für,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,17,18,im,im,im,unknown,im,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,18,19,sie,sie,sie,unknown,sie,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,19,20,eine,eine,eine,unknown,eine,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,20,21,sich,sich,sich,unknown,sich,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,21,22,auch,auch,auch,unknown,auch,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,22,23,dem,dem,dem,unknown,dem,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,23,24,des,des,des,unknown,des,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,24,25,als,als,als,unknown,als,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,25,26,er,er,er,unknown,er,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,26,27,an,an,an,unknown,an,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,27,28,dass,dass,dass,unknown,dass,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,28,29,so,so,so,unknown,so,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,29,30,bei,bei,bei,unknown,bei,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,30,31,wie,wie,wie,unknown,wie,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,31,33,aber,aber,aber,unknown,aber,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,32,34,aus,aus,aus,unknown,aus,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,33,35,hat,hat,hat,unknown,hat,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,34,36,sind,sind,sind,unknown,sind,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,35,37,nach,nach,nach,unknown,nach,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,36,38,noch,noch,noch,unknown,noch,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,37,39,wir,wir,wir,unknown,wir,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,38,40,du,du,du,unknown,du,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,39,41,war,war,war,unknown,war,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,40,42,nur,nur,nur,unknown,nur,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,41,43,wenn,wenn,wenn,unknown,wenn,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,42,44,oder,oder,oder,unknown,oder,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,43,45,wird,wird,wird,unknown,wird,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,44,46,was,was,was,unknown,was,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,45,47,werden,werden,werden,unknown,werden,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,46,49,einen,einen,einen,unknown,einen,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,47,50,am,am,am,unknown,am,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,48,51,man,man,man,unknown,man,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,49,52,um,um,um,unknown,um,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,50,53,haben,haben,haben,unknown,haben,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,51,54,einer,einer,einer,unknown,einer,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,52,55,zum,zum,zum,unknown,zum,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,53,56,kann,kann,kann,unknown,kann,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,54,57,über,über,über,unknown,über,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,55,58,da,da,da,unknown,da,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,56,59,dann,dann,dann,unknown,dann,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,57,60,einem,einem,einem,unknown,einem,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,58,61,schon,schon,schon,unknown,schon,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,59,62,habe,habe,habe,unknown,habe,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,60,63,ja,ja,ja,unknown,ja,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,61,64,mehr,mehr,mehr,unknown,mehr,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,62,65,mir,mir,mir,unknown,mir,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,63,66,sein,sein,sein,unknown,sein,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,64,67,vor,vor,vor,unknown,vor,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,65,68,mal,mal,mal,unknown,mal,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,66,69,zur,zur,zur,unknown,zur,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
de,v1,1,67,70,durch,durch,durch,unknown,durch,wordfreq:de,wordfreq_seeded;deterministically_filtered;needs_human_review
