language,frequency_list_version,source_rank,token,reason_code
de,v1,13,00,digit
de,v1,32,0000,digit
de,v1,48,000,digit
de,v1,80,1,digit
de,v1,87,2,digit
de,v1,96,3,digit
de,v1,153,4,digit
de,v1,161,5,digit
de,v1,227,6,digit
de,v1,268,"0,0",digit
de,v1,279,7,digit
de,v1,291,8,digit
de,v1,310,0,digit
de,v1,366,9,digit
de,v1,453,"0,00",digit
de,v1,460,00.00.0000,digit
de,v1,478,"00,0",digit
de,v1,479,00.00,digit
de,v1,492,00000,digit
de,v1,573,00.000,digit
de,v1,622,0.000,digit
de,v1,657,0.0,digit
de,v1,725,°,punctuation
de,v1,726,"00,00",digit
de,v1,819,z.b,contains_dot
de,v1,934,000.000,digit
de,v1,1172,http,web_noise
de,v1,1391,0.00,digit
de,v1,1392,00er,digit
de,v1,1885,00.0,digit
de,v1,2298,0000er,digit
de,v1,2434,u.a,contains_dot
de,v1,2442,000000,digit
de,v1,2891,"0,000",digit
