language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
el,v1,1,1,1,και,και,και,unknown,και,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,2,2,το,το,το,unknown,το,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,3,3,να,να,να,unknown,να,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,4,4,του,του,του,unknown,του,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,5,5,η,η,η,unknown,η,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,6,6,με,με,με,unknown,με,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,7,7,την,την,την,unknown,την,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,8,8,τησ,τησ,τησ,unknown,τησ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,9,9,για,για,για,unknown,για,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,10,10,ο,ο,ο,unknown,ο,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,11,11,που,που,που,unknown,που,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,12,12,τα,τα,τα,unknown,τα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,13,13,από,από,από,unknown,από,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,14,14,σε,σε,σε,unknown,σε,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,15,15,δεν,δεν,δεν,unknown,δεν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,16,16,θα,θα,θα,unknown,θα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,17,17,τον,τον,τον,unknown,τον,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,18,18,είναι,είναι,είναι,unknown,είναι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,19,19,στο,στο,στο,unknown,στο,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,20,21,στην,στην,στην,unknown,στην,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,21,22,οι,οι,οι,unknown,οι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,22,23,των,των,των,unknown,των,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,23,24,μου,μου,μου,unknown,μου,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,24,25,τη,τη,τη,unknown,τη,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,25,26,τουσ,τουσ,τουσ,unknown,τουσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,26,27,μασ,μασ,μασ,unknown,μασ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,27,29,τισ,τισ,τισ,unknown,τισ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,28,30,ότι,ότι,ότι,unknown,ότι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,29,31,μια,μια,μια,unknown,μια,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,30,32,ένα,ένα,ένα,unknown,ένα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,31,33,στη,στη,στη,unknown,στη,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,32,34,ήταν,ήταν,ήταν,unknown,ήταν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,33,35,τι,τι,τι,unknown,τι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,34,36,σασ,σασ,σασ,unknown,σασ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,35,37,σου,σου,σου,unknown,σου,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,36,38,στα,στα,στα,unknown,στα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,37,39,αν,αν,αν,unknown,αν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,38,40,στον,στον,στον,unknown,στον,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,39,41,έχει,έχει,έχει,unknown,έχει,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,40,42,αλλά,αλλά,αλλά,unknown,αλλά,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,41,43,αυτό,αυτό,αυτό,unknown,αυτό,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,42,44,ή,ή,ή,unknown,ή,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,43,45,στισ,στισ,στισ,unknown,στισ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,44,46,κι,κι,κι,unknown,κι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,45,48,όταν,όταν,όταν,unknown,όταν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,46,49,πωσ,πωσ,πωσ,unknown,πωσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,47,50,μην,μην,μην,unknown,μην,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,48,51,γιατί,γιατί,γιατί,unknown,γιατί,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,49,52,πολύ,πολύ,πολύ,unknown,πολύ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,50,53,δε,δε,δε,unknown,δε,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,51,54,όπωσ,όπωσ,όπωσ,unknown,όπωσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,52,55,πιο,πιο,πιο,unknown,πιο,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,53,56,μετά,μετά,μετά,unknown,μετά,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,54,57,μόνο,μόνο,μόνο,unknown,μόνο,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,55,59,αυτή,αυτή,αυτή,unknown,αυτή,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,56,60,ωσ,ωσ,ωσ,unknown,ωσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,57,61,πρέπει,πρέπει,πρέπει,unknown,πρέπει,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,58,63,μπορεί,μπορεί,μπορεί,unknown,μπορεί,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,59,64,κατά,κατά,κατά,unknown,κατά,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,60,65,όχι,όχι,όχι,unknown,όχι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,61,67,δύο,δύο,δύο,unknown,δύο,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,62,68,όλα,όλα,όλα,unknown,όλα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,63,69,μέσα,μέσα,μέσα,unknown,μέσα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,64,70,σ,σ,σ,unknown,σ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,65,71,στουσ,στουσ,στουσ,unknown,στουσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,66,72,είχε,είχε,είχε,unknown,είχε,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,67,73,τώρα,τώρα,τώρα,unknown,τώρα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,68,74,έχουν,έχουν,έχουν,unknown,έχουν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,69,75,έχω,έχω,έχω,unknown,έχω,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,70,76,μία,μία,μία,unknown,μία,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,71,77,σαν,σαν,σαν,unknown,σαν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,72,78,χρόνια,χρόνια,χρόνια,unknown,χρόνια,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,73,79,εγώ,εγώ,εγώ,unknown,εγώ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,74,80,κάνει,κάνει,κάνει,unknown,κάνει,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,75,81,α,α,α,unknown,α,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,76,82,μέχρι,μέχρι,μέχρι,unknown,μέχρι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,77,83,εδώ,εδώ,εδώ,unknown,εδώ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,78,84,κάτι,κάτι,κάτι,unknown,κάτι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,79,85,χωρίσ,χωρίσ,χωρίσ,unknown,χωρίσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,80,86,ένασ,ένασ,ένασ,unknown,ένασ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,81,87,έτσι,έτσι,έτσι,unknown,έτσι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,82,88,κάθε,κάθε,κάθε,unknown,κάθε,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,83,89,αυτά,αυτά,αυτά,unknown,αυτά,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,84,90,μη,μη,μη,unknown,μη,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,85,91,κ,κ,κ,unknown,κ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,86,92,όμωσ,όμωσ,όμωσ,unknown,όμωσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,87,93,ζωή,ζωή,ζωή,unknown,ζωή,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,88,94,παιδιά,παιδιά,παιδιά,unknown,παιδιά,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,89,95,σήμερα,σήμερα,σήμερα,unknown,σήμερα,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,90,96,ενώ,ενώ,ενώ,unknown,ενώ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,91,97,ναι,ναι,ναι,unknown,ναι,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,92,98,πριν,πριν,πριν,unknown,πριν,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
el,v1,1,93,100,προσ,προσ,προσ,unknown,προσ,wordfreq:el,wordfreq_seeded;deterministically_filtered;structurally_curated
