language,frequency_list_version,source_rank,token,reason_code
el,v1,20,00,digit
el,v1,28,0000,digit
el,v1,47,000,digit
el,v1,58,2,digit
el,v1,62,1,digit
el,v1,66,3,digit
el,v1,99,5,digit
el,v1,106,4,digit
el,v1,153,6,digit
el,v1,179,7,digit
el,v1,183,8,digit
el,v1,213,9,digit
el,v1,221,"0,0",digit
el,v1,245,0,digit
el,v1,327,0.000,digit
el,v1,417,00.000,digit
el,v1,452,"00,0",digit
el,v1,559,http,web_noise
el,v1,567,"0,00",digit
el,v1,597,π.χ,contains_dot
el,v1,626,000.000,digit
el,v1,652,00η,digit
el,v1,824,0.0,digit
el,v1,891,00000,digit
el,v1,910,00ο,digit
el,v1,958,1η,digit
el,v1,983,°,punctuation
el,v1,1109,00ησ,digit
el,v1,1232,https,web_noise
el,v1,1393,0.00,digit
el,v1,1394,00.00,digit
el,v1,1425,00χρονοσ,digit
el,v1,1426,facebook,punctuation
el,v1,1499,"00,00",digit
el,v1,1594,00ου,digit
el,v1,1624,google,punctuation
el,v1,1703,1ο,digit
el,v1,1750,2ο,digit
el,v1,1878,κ.α,contains_dot
el,v1,1941,00.0,digit
el,v1,1994,2η,digit
el,v1,2444,3ο,digit
el,v1,2683,3η,digit
el,v1,2868,4ο,digit
el,v1,2869,apple,punctuation
el,v1,2927,00χρονη,digit
el,v1,2999,α.ε,contains_dot
