language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
en,v1,1,1,1,the,the,the,unknown,the,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,2,2,to,to,to,unknown,to,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,3,3,and,and,and,unknown,and,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,4,4,of,of,of,unknown,of,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,5,5,a,a,a,unknown,a,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,6,6,in,in,in,unknown,in,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,7,7,i,i,i,unknown,i,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,8,8,is,is,is,unknown,is,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,9,9,for,for,for,unknown,for,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,10,10,that,that,that,unknown,that,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,11,11,you,you,you,unknown,you,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,12,12,it,it,it,unknown,it,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,13,13,on,on,on,unknown,on,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,14,14,with,with,with,unknown,with,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,15,16,this,this,this,unknown,this,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,16,17,was,was,was,unknown,was,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,17,18,be,be,be,unknown,be,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,18,19,as,as,as,unknown,as,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,19,20,are,are,are,unknown,are,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,20,21,have,have,have,unknown,have,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,21,22,at,at,at,unknown,at,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,22,23,he,he,he,unknown,he,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,23,24,not,not,not,unknown,not,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,24,25,by,by,by,unknown,by,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,25,27,but,but,but,unknown,but,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,26,28,from,from,from,unknown,from,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,27,29,my,my,my,unknown,my,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,28,30,or,or,or,unknown,or,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,29,31,we,we,we,unknown,we,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,30,32,an,an,an,unknown,an,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,31,33,your,your,your,unknown,your,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,32,34,all,all,all,unknown,all,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,33,35,so,so,so,unknown,so,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
en,v1,1,34,36,his,his,his,unknown,his,wordfreq:en,wordfreq_seeded;deterministically_filtered;structurally_curated
