language,frequency_list_version,source_rank,token,reason_code
en,v1,15,00,digit
en,v1,26,0000,digit
en,v1,66,000,digit
en,v1,105,1,digit
en,v1,106,2,digit
en,v1,132,3,digit
en,v1,162,4,digit
en,v1,173,5,digit
en,v1,233,6,digit
en,v1,239,0.0,digit
en,v1,256,7,digit
en,v1,316,8,digit
en,v1,373,"0,000",digit
en,v1,374,00th,digit
en,v1,375,9,digit
en,v1,387,"00,000",digit
en,v1,460,00.0,digit
en,v1,503,u.s,contains_dot
en,v1,531,0.00,digit
en,v1,611,0,digit
en,v1,679,"000,000",digit
en,v1,831,00.00,digit
en,v1,1167,0000s,digit
en,v1,1268,trump,punctuation
en,v1,1349,facebook,punctuation
en,v1,1427,00000,digit
en,v1,1468,google,punctuation
en,v1,1562,00s,digit
en,v1,1563,1st,digit
en,v1,1651,http,web_noise
en,v1,1795,apple,punctuation
en,v1,1865,2nd,digit
en,v1,2040,°,punctuation
en,v1,2253,3rd,digit
en,v1,2669,000000,digit
en,v1,2725,4th,digit
en,v1,2727,amazon,punctuation
en,v1,2845,e.g,contains_dot
en,v1,2913,i.e,contains_dot
