language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
es,v1,1,1,1,de,de,de,unknown,de,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,2,2,la,la,la,unknown,la,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,3,3,que,que,que,unknown,que,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,4,4,el,el,el,unknown,el,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,5,5,en,en,en,unknown,en,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,6,6,y,y,y,unknown,y,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,7,7,a,a,a,unknown,a,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,8,8,los,los,los,unknown,los,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,9,9,no,no,no,unknown,no,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,10,10,un,un,un,unknown,un,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,11,11,se,se,se,unknown,se,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,12,12,por,por,por,unknown,por,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,13,13,es,es,es,unknown,es,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,14,14,del,del,del,unknown,del,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,15,15,las,las,las,unknown,las,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,16,16,con,con,con,unknown,con,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,17,17,una,una,una,unknown,una,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,18,18,para,para,para,unknown,para,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,19,19,lo,lo,lo,unknown,lo,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,20,20,su,su,su,unknown,su,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,21,22,al,al,al,unknown,al,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,22,23,como,como,como,unknown,como,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,23,24,me,me,me,unknown,me,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,24,25,más,más,más,unknown,más,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,25,26,si,si,si,unknown,si,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
es,v1,1,26,27,pero,pero,pero,unknown,pero,wordfreq:es,wordfreq_seeded;deterministically_filtered;structurally_curated
