language,frequency_list_version,source_rank,token,reason_code
es,v1,21,00,digit
es,v1,29,0000,digit
es,v1,44,000,digit
es,v1,96,1,digit
es,v1,102,2,digit
es,v1,116,3,digit
es,v1,182,4,digit
es,v1,183,5,digit
es,v1,255,6,digit
es,v1,293,8,digit
es,v1,302,7,digit
es,v1,409,9,digit
es,v1,431,0.0,digit
es,v1,563,0.000,digit
es,v1,625,0,digit
es,v1,737,00.000,digit
es,v1,868,°,punctuation
es,v1,877,"0,0",digit
es,v1,884,facebook,punctuation
es,v1,1138,0.00,digit
es,v1,1180,http,web_noise
es,v1,1240,"00,0",digit
es,v1,1344,"0,000",digit
es,v1,1357,google,punctuation
es,v1,1375,000.000,digit
es,v1,1408,"0,00",digit
es,v1,1446,00000,digit
es,v1,1476,00.00,digit
es,v1,1639,00.0,digit
es,v1,1679,"00,000",digit
es,v1,2209,"00,00",digit
es,v1,2547,trump,punctuation
es,v1,2843,ee.uu,contains_dot
