language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
fi,v1,1,1,1,ja,ja,ja,unknown,ja,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,2,2,on,on,on,unknown,on,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,3,3,ei,ei,ei,unknown,ei,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,4,4,että,että,että,unknown,että,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,5,6,se,se,se,unknown,se,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,6,7,oli,oli,oli,unknown,oli,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,7,8,mutta,mutta,mutta,unknown,mutta,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,8,9,ole,ole,ole,unknown,ole,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,9,10,kun,kun,kun,unknown,kun,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,10,11,niin,niin,niin,unknown,niin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,11,12,myös,myös,myös,unknown,myös,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,12,13,hän,hän,hän,unknown,hän,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,13,14,jos,jos,jos,unknown,jos,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,14,16,ovat,ovat,ovat,unknown,ovat,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,15,17,voi,voi,voi,unknown,voi,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,16,18,nyt,nyt,nyt,unknown,nyt,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,17,19,sen,sen,sen,unknown,sen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,18,20,kuin,kuin,kuin,unknown,kuin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,19,21,tai,tai,tai,unknown,tai,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,20,22,en,en,en,unknown,en,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,21,23,joka,joka,joka,unknown,joka,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,22,25,olla,olla,olla,unknown,olla,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,23,26,sitä,sitä,sitä,unknown,sitä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,24,27,mitä,mitä,mitä,unknown,mitä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,25,28,vain,vain,vain,unknown,vain,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,26,29,jo,jo,jo,unknown,jo,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,27,30,kanssa,kanssa,kanssa,unknown,kanssa,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,28,31,tämä,tämä,tämä,unknown,tämä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,29,32,sitten,sitten,sitten,unknown,sitten,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,30,33,kaikki,kaikki,kaikki,unknown,kaikki,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,31,34,olisi,olisi,olisi,unknown,olisi,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,32,35,ollut,ollut,ollut,unknown,ollut,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,33,36,vielä,vielä,vielä,unknown,vielä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,34,37,kyllä,kyllä,kyllä,unknown,kyllä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,35,38,siitä,siitä,siitä,unknown,siitä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,36,39,ne,ne,ne,unknown,ne,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,37,40,suomen,suomen,suomen,unknown,suomen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,38,41,hyvä,hyvä,hyvä,unknown,hyvä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,39,43,sekä,sekä,sekä,unknown,sekä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,40,44,jälkeen,jälkeen,jälkeen,unknown,jälkeen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,41,45,miten,miten,miten,unknown,miten,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,42,46,mukaan,mukaan,mukaan,unknown,mukaan,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,43,47,paljon,paljon,paljon,unknown,paljon,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
