language,frequency_list_version,source_rank,token,reason_code
fi,v1,5,00,digit
fi,v1,15,0000,digit
fi,v1,24,000,digit
fi,v1,42,1,digit
fi,v1,59,2,digit
fi,v1,72,3,digit
fi,v1,118,5,digit
fi,v1,129,4,digit
fi,v1,152,"0,0",digit
fi,v1,175,6,digit
fi,v1,226,7,digit
fi,v1,235,0,digit
fi,v1,240,8,digit
fi,v1,307,00.00,digit
fi,v1,314,9,digit
fi,v1,446,"00,0",digit
fi,v1,521,0.0,digit
fi,v1,657,00.0,digit
fi,v1,700,http,web_noise
fi,v1,707,"0,00",digit
fi,v1,958,00.0.0000,digit
fi,v1,959,eu:n,punctuation
fi,v1,1005,00.00.0000,digit
fi,v1,1030,0.00,digit
fi,v1,1085,00000,digit
fi,v1,1270,00v,digit
fi,v1,1335,"00,00",digit
fi,v1,1399,facebook,punctuation
fi,v1,1431,google,punctuation
fi,v1,1493,0.0.0000,digit
fi,v1,1821,oy:n,punctuation
fi,v1,1962,°,punctuation
fi,v1,2011,trump,punctuation
fi,v1,2129,https,web_noise
fi,v1,2315,usa:n,punctuation
fi,v1,2526,sdp:n,punctuation
fi,v1,2668,f1,digit
fi,v1,2780,putin,punctuation
fi,v1,2861,apple,punctuation
fi,v1,3018,yk:n,punctuation
