language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
fr,v1,1,1,1,de,de,de,unknown,de,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,2,2,la,la,la,unknown,la,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,3,3,le,le,le,unknown,le,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,4,4,et,et,et,unknown,et,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,5,5,l,l,l,unknown,l,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,6,6,à,à,à,unknown,à,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,7,7,les,les,les,unknown,les,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,8,8,est,est,est,unknown,est,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,9,9,en,en,en,unknown,en,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,10,10,des,des,des,unknown,des,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,11,11,d,d,d,unknown,d,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,12,12,un,un,un,unknown,un,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,13,13,que,que,que,unknown,que,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,14,14,a,a,a,unknown,a,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,15,15,pas,pas,pas,unknown,pas,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,16,16,une,une,une,unknown,une,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,17,17,du,du,du,unknown,du,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,18,18,il,il,il,unknown,il,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,19,19,pour,pour,pour,unknown,pour,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,20,20,dans,dans,dans,unknown,dans,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,21,21,je,je,je,unknown,je,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,22,22,qui,qui,qui,unknown,qui,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,23,23,c,c,c,unknown,c,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,24,24,au,au,au,unknown,au,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,25,25,ce,ce,ce,unknown,ce,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,26,26,sur,sur,sur,unknown,sur,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,27,27,qu,qu,qu,unknown,qu,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,28,29,par,par,par,unknown,par,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
fr,v1,1,29,30,on,on,on,unknown,on,wordfreq:fr,wordfreq_seeded;deterministically_filtered;structurally_curated
