language,frequency_list_version,source_rank,token,reason_code
fr,v1,28,00,digit
fr,v1,37,0000,digit
fr,v1,63,000,digit
fr,v1,101,1,digit
fr,v1,102,2,digit
fr,v1,124,3,digit
fr,v1,164,4,digit
fr,v1,169,5,digit
fr,v1,242,6,digit
fr,v1,312,7,digit
fr,v1,354,8,digit
fr,v1,391,°,punctuation
fr,v1,476,9,digit
fr,v1,519,"0,0",digit
fr,v1,528,0,digit
fr,v1,685,"00,0",digit
fr,v1,805,"0,00",digit
fr,v1,806,00000,digit
fr,v1,844,00h,digit
fr,v1,871,00h00,digit
fr,v1,902,1er,digit
fr,v1,1172,facebook,punctuation
fr,v1,1184,0.0,digit
fr,v1,1363,"00,00",digit
fr,v1,1364,00e,digit
fr,v1,1492,google,punctuation
fr,v1,1881,http,web_noise
fr,v1,2172,0.000,digit
fr,v1,2416,00.000,digit
fr,v1,2671,apple,punctuation
fr,v1,2920,2e,digit
fr,v1,2990,0.00,digit
