language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
hr,v1,1,1,1,je,je,je,unknown,je,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,2,2,u,u,u,unknown,u,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,3,3,i,i,i,unknown,i,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,4,4,da,da,da,unknown,da,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,5,5,se,se,se,unknown,se,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,6,6,na,na,na,unknown,na,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,7,8,od,od,od,unknown,od,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,8,9,za,za,za,unknown,za,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,9,10,su,su,su,unknown,su,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,10,12,a,a,a,unknown,a,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,11,13,ne,ne,ne,unknown,ne,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,12,14,sa,sa,sa,unknown,sa,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,13,15,iz,iz,iz,unknown,iz,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,14,17,to,to,to,unknown,to,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,15,18,kao,kao,kao,unknown,kao,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,16,19,o,o,o,unknown,o,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,17,20,što,što,što,unknown,što,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,18,21,godine,godine,godine,unknown,godine,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,19,22,koji,koji,koji,unknown,koji,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,20,23,kako,kako,kako,unknown,kako,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,21,24,bi,bi,bi,unknown,bi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,22,25,ali,ali,ali,unknown,ali,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,23,26,nije,nije,nije,unknown,nije,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,24,27,još,još,još,unknown,još,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,25,28,po,po,po,unknown,po,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,26,29,s,s,s,unknown,s,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,27,30,do,do,do,unknown,do,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,28,31,sve,sve,sve,unknown,sve,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,29,32,bio,bio,bio,unknown,bio,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,30,33,ili,ili,ili,unknown,ili,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,31,34,sam,sam,sam,unknown,sam,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,32,35,će,će,će,unknown,će,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,33,36,koja,koja,koja,unknown,koja,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,34,37,samo,samo,samo,unknown,samo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,35,38,te,te,te,unknown,te,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,36,39,biti,biti,biti,unknown,biti,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,37,40,više,više,više,unknown,više,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,38,41,koje,koje,koje,unknown,koje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,39,42,kada,kada,kada,unknown,kada,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,40,43,ako,ako,ako,unknown,ako,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,41,44,tako,tako,tako,unknown,tako,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,42,45,bilo,bilo,bilo,unknown,bilo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,43,46,sad,sad,sad,unknown,sad,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,44,47,smo,smo,smo,unknown,smo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,45,48,mi,mi,mi,unknown,mi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,46,49,može,može,može,unknown,može,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,47,50,ima,ima,ima,unknown,ima,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,48,51,on,on,on,unknown,on,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,49,52,ga,ga,ga,unknown,ga,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,50,53,jer,jer,jer,unknown,jer,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,51,54,pa,pa,pa,unknown,pa,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,52,56,ni,ni,ni,unknown,ni,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,53,57,zbog,zbog,zbog,unknown,zbog,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,54,58,prema,prema,prema,unknown,prema,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,55,59,godina,godina,godina,unknown,godina,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,56,60,bila,bila,bila,unknown,bila,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,57,61,kod,kod,kod,unknown,kod,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,58,62,jedan,jedan,jedan,unknown,jedan,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,59,63,nakon,nakon,nakon,unknown,nakon,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,60,64,treba,treba,treba,unknown,treba,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,61,65,bez,bez,bez,unknown,bez,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,62,66,li,li,li,unknown,li,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,63,67,mogu,mogu,mogu,unknown,mogu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,64,69,ih,ih,ih,unknown,ih,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,65,70,oko,oko,oko,unknown,oko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,66,71,šta,šta,šta,unknown,šta,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,67,72,dok,dok,dok,unknown,dok,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,68,73,ja,ja,ja,unknown,ja,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,69,74,ljudi,ljudi,ljudi,unknown,ljudi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,70,75,oni,oni,oni,unknown,oni,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,71,76,rekao,rekao,rekao,unknown,rekao,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,72,77,ovo,ovo,ovo,unknown,ovo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,73,78,dana,dana,dana,unknown,dana,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,74,79,toga,toga,toga,unknown,toga,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,75,80,gde,gde,gde,unknown,gde,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,76,81,mu,mu,mu,unknown,mu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,77,82,ovaj,ovaj,ovaj,unknown,ovaj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,78,83,pod,pod,pod,unknown,pod,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,79,84,sada,sada,sada,unknown,sada,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,80,85,nego,nego,nego,unknown,nego,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,81,86,nas,nas,nas,unknown,nas,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,82,87,broj,broj,broj,unknown,broj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,83,89,između,između,između,unknown,između,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,84,90,kad,kad,kad,unknown,kad,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,85,91,svi,svi,svi,unknown,svi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,86,92,bili,bili,bili,unknown,bili,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,87,93,dva,dva,dva,unknown,dva,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,88,94,pre,pre,pre,unknown,pre,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,89,95,prvi,prvi,prvi,unknown,prvi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,90,96,svoje,svoje,svoje,unknown,svoje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,91,97,gdje,gdje,gdje,unknown,gdje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,92,98,nema,nema,nema,unknown,nema,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,93,99,ona,ona,ona,unknown,ona,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,94,100,tu,tu,tu,unknown,tu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,95,101,bih,bih,bih,unknown,bih,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,96,102,bude,bude,bude,unknown,bude,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,97,103,ko,ko,ko,unknown,ko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,98,104,nam,nam,nam,unknown,nam,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,99,105,nisu,nisu,nisu,unknown,nisu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,100,106,im,im,im,unknown,im,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,101,107,radi,radi,radi,unknown,radi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,102,108,ti,ti,ti,unknown,ti,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,103,109,tome,tome,tome,unknown,tome,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,104,110,mnogo,mnogo,mnogo,unknown,mnogo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,105,112,danas,danas,danas,unknown,danas,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,106,113,uz,uz,uz,unknown,uz,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,107,114,vidi,vidi,vidi,unknown,vidi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,108,115,taj,taj,taj,unknown,taj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,109,116,tri,tri,tri,unknown,tri,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,110,117,nešto,nešto,nešto,unknown,nešto,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,111,118,ono,ono,ono,unknown,ono,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,112,119,put,put,put,unknown,put,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
