language,frequency_list_version,source_rank,token,reason_code
hr,v1,7,00,digit
hr,v1,11,0000,digit
hr,v1,16,000,digit
hr,v1,55,1,digit
hr,v1,68,2,digit
hr,v1,88,3,digit
hr,v1,111,4,digit
hr,v1,121,5,digit
hr,v1,138,6,digit
hr,v1,151,9,digit
hr,v1,172,7,digit
hr,v1,179,8,digit
hr,v1,223,"0,0",digit
hr,v1,237,0.000,digit
hr,v1,253,0,digit
hr,v1,326,00.000,digit
hr,v1,413,"00,0",digit
hr,v1,583,"0,00",digit
hr,v1,608,"00,00",digit
hr,v1,609,000.000,digit
hr,v1,658,00000,digit
hr,v1,795,0.0,digit
hr,v1,1153,http,web_noise
hr,v1,1500,0.00,digit
hr,v1,1544,°,punctuation
hr,v1,1754,"00,000",digit
hr,v1,1840,00.00,digit
hr,v1,2295,00.0,digit
hr,v1,2744,google,punctuation
hr,v1,2800,"0,000",digit
