language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
hu,v1,1,1,1,a,a,a,unknown,a,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,2,2,az,az,az,unknown,az,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,3,3,és,és,és,unknown,és,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,4,4,nem,nem,nem,unknown,nem,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,5,5,hogy,hogy,hogy,unknown,hogy,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,6,7,egy,egy,egy,unknown,egy,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,7,8,is,is,is,unknown,is,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,8,9,de,de,de,unknown,de,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,9,10,meg,meg,meg,unknown,meg,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,10,12,csak,csak,csak,unknown,csak,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,11,13,ha,ha,ha,unknown,ha,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,12,14,van,van,van,unknown,van,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,13,15,volt,volt,volt,unknown,volt,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,14,16,ez,ez,ez,unknown,ez,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,15,17,vagy,vagy,vagy,unknown,vagy,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,16,18,már,már,már,unknown,már,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,17,19,még,még,még,unknown,még,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,18,20,én,én,én,unknown,én,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,19,21,kell,kell,kell,unknown,kell,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,20,22,el,el,el,unknown,el,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,21,24,jó,jó,jó,unknown,jó,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,22,25,ki,ki,ki,unknown,ki,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,23,26,azt,azt,azt,unknown,azt,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,24,27,most,most,most,unknown,most,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,25,28,akkor,akkor,akkor,unknown,akkor,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,26,29,mint,mint,mint,unknown,mint,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,27,31,ezt,ezt,ezt,unknown,ezt,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,28,32,minden,minden,minden,unknown,minden,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,29,33,mert,mert,mert,unknown,mert,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,30,34,magyar,magyar,magyar,unknown,magyar,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,31,35,nagyon,nagyon,nagyon,unknown,nagyon,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,32,36,így,így,így,unknown,így,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,33,37,olyan,olyan,olyan,unknown,olyan,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
hu,v1,1,34,38,itt,itt,itt,unknown,itt,wordfreq:hu,wordfreq_seeded;deterministically_filtered;structurally_curated
