language,frequency_list_version,source_rank,token,reason_code
hu,v1,6,00,digit
hu,v1,11,0000,digit
hu,v1,23,000,digit
hu,v1,30,1,digit
hu,v1,41,2,digit
hu,v1,49,3,digit
hu,v1,66,4,digit
hu,v1,76,5,digit
hu,v1,107,6,digit
hu,v1,111,8,digit
hu,v1,114,7,digit
hu,v1,147,9,digit
hu,v1,201,"0,0",digit
hu,v1,275,0,digit
hu,v1,329,0.0,digit
hu,v1,524,http,web_noise
hu,v1,607,"00,0",digit
hu,v1,904,°,punctuation
hu,v1,959,https,web_noise
hu,v1,1145,00000,digit
hu,v1,1179,"0,00",digit
hu,v1,1327,google,punctuation
hu,v1,1476,00.000,digit
hu,v1,1487,facebook,punctuation
hu,v1,1710,0.00,digit
hu,v1,1741,u00,digit
hu,v1,1797,00.00,digit
hu,v1,2155,"00,00",digit
hu,v1,2204,00.0,digit
hu,v1,2270,0000.00.00,digit
hu,v1,2435,3d,digit
hu,v1,2524,m2,digit
hu,v1,2550,♪,punctuation
hu,v1,2779,apple,punctuation
hu,v1,2954,microsoft,punctuation
