language,frequency_list_version,source_rank,token,reason_code
it,v1,21,00,digit
it,v1,30,0000,digit
it,v1,52,000,digit
it,v1,109,1,digit
it,v1,110,2,digit
it,v1,121,3,digit
it,v1,158,5,digit
it,v1,166,4,digit
it,v1,268,6,digit
it,v1,297,7,digit
it,v1,310,8,digit
it,v1,374,°,punctuation
it,v1,382,9,digit
it,v1,676,0,digit
it,v1,722,"0,0",digit
it,v1,732,0.0,digit
it,v1,774,0.000,digit
it,v1,819,00.000,digit
it,v1,1234,"00,0",digit
it,v1,1291,00.00,digit
it,v1,1319,"0,00",digit
it,v1,1347,00000,digit
it,v1,1419,http,web_noise
it,v1,1752,000.000,digit
it,v1,1933,m5s,digit
it,v1,2044,0.00,digit
it,v1,2045,"00,00",digit
