language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
ja,v1,1,1,1,の,の,の,unknown,の,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,2,2,に,に,に,unknown,に,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,3,3,て,て,て,unknown,て,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,4,4,は,は,は,unknown,は,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,5,5,が,が,が,unknown,が,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,6,6,た,た,た,unknown,た,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,7,7,を,を,を,unknown,を,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,8,8,で,で,で,unknown,で,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,9,9,し,し,し,unknown,し,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,10,10,と,と,と,unknown,と,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,11,11,な,な,な,unknown,な,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,12,12,ない,ない,ない,unknown,ない,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,13,13,も,も,も,unknown,も,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,14,14,だ,だ,だ,unknown,だ,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,15,16,か,か,か,unknown,か,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,16,17,ん,ん,ん,unknown,ん,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,17,18,から,から,から,unknown,から,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,18,19,です,です,です,unknown,です,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,19,20,する,する,する,unknown,する,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,20,21,よ,よ,よ,unknown,よ,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,21,22,ます,ます,ます,unknown,ます,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,22,23,さ,さ,さ,unknown,さ,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,23,24,こと,こと,こと,unknown,こと,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,24,25,いる,いる,いる,unknown,いる,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,25,26,れ,れ,れ,unknown,れ,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,26,27,ね,ね,ね,unknown,ね,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,27,28,てる,てる,てる,unknown,てる,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,28,29,ある,ある,ある,unknown,ある,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,29,30,う,う,う,unknown,う,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,30,31,い,い,い,unknown,い,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,31,32,人,人,人,unknown,人,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,32,34,や,や,や,unknown,や,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,33,38,日,日,日,unknown,日,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,34,39,いい,いい,いい,unknown,いい,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,35,40,なっ,なっ,なっ,unknown,なっ,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,36,41,まし,まし,まし,unknown,まし,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,37,42,この,この,この,unknown,この,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,38,43,そう,そう,そう,unknown,そう,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,39,44,って,って,って,unknown,って,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,40,45,たら,たら,たら,unknown,たら,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,41,46,ば,ば,ば,unknown,ば,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
ja,v1,1,42,47,お,お,お,unknown,お,wordfreq:ja,wordfreq_seeded;deterministically_filtered;structurally_curated
