language,frequency_list_version,source_rank,token,reason_code
ja,v1,15,00,digit
ja,v1,33,1,digit
ja,v1,35,000,digit
ja,v1,36,0000,digit
ja,v1,37,2,digit
ja,v1,51,3,digit
ja,v1,79,4,digit
ja,v1,90,5,digit
ja,v1,122,8,digit
ja,v1,126,6,digit
ja,v1,131,7,digit
ja,v1,144,9,digit
ja,v1,152,♪,punctuation
ja,v1,177,0,digit
ja,v1,272,́,punctuation
ja,v1,417,̄,punctuation
ja,v1,445,○,punctuation
ja,v1,553,☆,punctuation
ja,v1,563,★,punctuation
ja,v1,685,─,punctuation
ja,v1,731,00000,digit
ja,v1,739,゚,punctuation
ja,v1,841,●,punctuation
ja,v1,1019,www,web_noise
ja,v1,1153,https,web_noise
ja,v1,1154,°,punctuation
ja,v1,1318,゙,punctuation
ja,v1,1587,http,web_noise
ja,v1,1881,■,punctuation
ja,v1,2148,〇,punctuation
ja,v1,2289,amazon,punctuation
ja,v1,2521,◆,punctuation
ja,v1,2745,000000,digit
ja,v1,2809,google,punctuation
