language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
nb,v1,1,1,1,i,i,i,unknown,i,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,2,2,og,og,og,unknown,og,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,3,3,er,er,er,unknown,er,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,4,4,det,det,det,unknown,det,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,5,5,å,å,å,unknown,å,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,6,6,på,på,på,unknown,på,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,7,7,som,som,som,unknown,som,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,8,8,til,til,til,unknown,til,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,9,9,en,en,en,unknown,en,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,10,10,av,av,av,unknown,av,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,11,11,for,for,for,unknown,for,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,12,12,ikke,ikke,ikke,unknown,ikke,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,13,13,med,med,med,unknown,med,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,14,14,har,har,har,unknown,har,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,15,15,jeg,jeg,jeg,unknown,jeg,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,16,16,at,at,at,unknown,at,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,17,17,de,de,de,unknown,de,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,18,19,du,du,du,unknown,du,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,19,20,om,om,om,unknown,om,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,20,21,den,den,den,unknown,den,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,21,22,så,så,så,unknown,så,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,22,23,vi,vi,vi,unknown,vi,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,23,24,fra,fra,fra,unknown,fra,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,24,25,var,var,var,unknown,var,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,25,26,kan,kan,kan,unknown,kan,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,26,27,et,et,et,unknown,et,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,27,28,men,men,men,unknown,men,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,28,29,han,han,han,unknown,han,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,29,30,seg,seg,seg,unknown,seg,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,30,31,dette,dette,dette,unknown,dette,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,31,32,noe,noe,noe,unknown,noe,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,32,33,skal,skal,skal,unknown,skal,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,33,34,noen,noen,noen,unknown,noen,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,34,35,ble,ble,ble,unknown,ble,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,35,36,vil,vil,vil,unknown,vil,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,36,37,bare,bare,bare,unknown,bare,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,37,38,også,også,også,unknown,også,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,38,39,ut,ut,ut,unknown,ut,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,39,41,da,da,da,unknown,da,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,40,42,nå,nå,nå,unknown,nå,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,41,43,hva,hva,hva,unknown,hva,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,42,44,etter,etter,etter,unknown,etter,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,43,45,eller,eller,eller,unknown,eller,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,44,46,meg,meg,meg,unknown,meg,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,45,47,være,være,være,unknown,være,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,46,48,blir,blir,blir,unknown,blir,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,47,49,hadde,hadde,hadde,unknown,hadde,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,48,50,alle,alle,alle,unknown,alle,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,49,51,når,når,når,unknown,når,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,50,52,her,her,her,unknown,her,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,51,53,må,må,må,unknown,må,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,52,54,ha,ha,ha,unknown,ha,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,53,55,deg,deg,deg,unknown,deg,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,54,56,få,få,få,unknown,få,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,55,57,man,man,man,unknown,man,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,56,58,mer,mer,mer,unknown,mer,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,57,59,opp,opp,opp,unknown,opp,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,58,60,andre,andre,andre,unknown,andre,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,59,61,gjør,gjør,gjør,unknown,gjør,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,60,62,over,over,over,unknown,over,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,61,63,litt,litt,litt,unknown,litt,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,62,64,ved,ved,ved,unknown,ved,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,63,65,vært,vært,vært,unknown,vært,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,64,66,bli,bli,bli,unknown,bli,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,65,67,får,får,får,unknown,får,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,66,68,inn,inn,inn,unknown,inn,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,67,69,denne,denne,denne,unknown,denne,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,68,70,enn,enn,enn,unknown,enn,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,69,71,år,år,år,unknown,år,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,70,72,gjøre,gjøre,gjøre,unknown,gjøre,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,71,73,hun,hun,hun,unknown,hun,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,72,74,mye,mye,mye,unknown,mye,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,73,75,der,der,der,unknown,der,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,74,76,hvor,hvor,hvor,unknown,hvor,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,75,77,norge,norge,norge,unknown,norge,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,76,78,se,se,se,unknown,se,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,77,79,igjen,igjen,igjen,unknown,igjen,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,78,80,kommer,kommer,kommer,unknown,kommer,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,79,81,mot,mot,mot,unknown,mot,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,80,82,selv,selv,selv,unknown,selv,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,81,84,hvis,hvis,hvis,unknown,hvis,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,82,85,ta,ta,ta,unknown,ta,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,83,86,to,to,to,unknown,to,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,84,87,før,før,før,unknown,før,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,85,89,fikk,fikk,fikk,unknown,fikk,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,86,90,alt,alt,alt,unknown,alt,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
nb,v1,1,87,91,flere,flere,flere,unknown,flere,wordfreq:nb,wordfreq_seeded;deterministically_filtered;structurally_curated
