language,frequency_list_version,source_rank,token,reason_code
nb,v1,18,00,digit
nb,v1,40,0000,digit
nb,v1,83,000,digit
nb,v1,88,1,digit
nb,v1,98,2,digit
nb,v1,115,3,digit
nb,v1,163,4,digit
nb,v1,172,5,digit
nb,v1,230,6,digit
nb,v1,279,7,digit
nb,v1,327,"0,0",digit
nb,v1,334,8,digit
nb,v1,374,0,digit
nb,v1,403,9,digit
nb,v1,563,00.00,digit
nb,v1,752,facebook,sensitive_name_or_brand
nb,v1,969,"00,0",digit
nb,v1,991,0.0,digit
nb,v1,1034,f.eks,contains_dot
nb,v1,1192,google,sensitive_name_or_brand
nb,v1,1331,bl.a,contains_dot
nb,v1,1360,trump,sensitive_name_or_brand
nb,v1,1590,00.000,digit
nb,v1,1591,00000,digit
nb,v1,1742,http,web_noise
nb,v1,1982,°,punctuation
nb,v1,2032,"0,00",digit
nb,v1,2396,apple,sensitive_name_or_brand
nb,v1,2685,co2,digit
nb,v1,2747,e00,digit
nb,v1,2801,000.000,digit
nb,v1,2857,0.00,digit
nb,v1,2879,https,web_noise
nb,v1,2973,tv2,digit
