language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
nl,v1,1,1,1,de,de,de,unknown,de,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,2,2,van,van,van,unknown,van,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,3,3,het,het,het,unknown,het,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,4,4,een,een,een,unknown,een,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,5,5,en,en,en,unknown,en,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,6,6,in,in,in,unknown,in,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,7,7,is,is,is,unknown,is,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,8,8,op,op,op,unknown,op,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,9,9,ik,ik,ik,unknown,ik,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,10,10,dat,dat,dat,unknown,dat,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,11,11,voor,voor,voor,unknown,voor,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,12,12,je,je,je,unknown,je,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,13,13,te,te,te,unknown,te,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,14,14,met,met,met,unknown,met,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,15,15,niet,niet,niet,unknown,niet,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,16,16,zijn,zijn,zijn,unknown,zijn,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,17,18,die,die,die,unknown,die,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,18,19,als,als,als,unknown,als,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,19,20,er,er,er,unknown,er,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,20,21,maar,maar,maar,unknown,maar,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,21,22,om,om,om,unknown,om,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,22,23,aan,aan,aan,unknown,aan,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,23,24,hij,hij,hij,unknown,hij,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,24,25,ook,ook,ook,unknown,ook,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,25,26,ze,ze,ze,unknown,ze,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,26,27,door,door,door,unknown,door,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,27,28,naar,naar,naar,unknown,naar,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,28,29,uit,uit,uit,unknown,uit,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,29,31,bij,bij,bij,unknown,bij,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,30,32,dan,dan,dan,unknown,dan,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,31,33,dit,dit,dit,unknown,dit,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
