language,frequency_list_version,source_rank,token,reason_code
nl,v1,17,00,digit
nl,v1,30,0000,digit
nl,v1,69,000,digit
nl,v1,86,1,digit
nl,v1,104,2,digit
nl,v1,130,3,digit
nl,v1,164,4,digit
nl,v1,195,5,digit
nl,v1,261,6,digit
nl,v1,277,7,digit
nl,v1,289,8,digit
nl,v1,356,9,digit
nl,v1,364,0.0,digit
nl,v1,385,"0,0",digit
nl,v1,490,00.00,digit
nl,v1,510,00.000,digit
nl,v1,575,0,digit
nl,v1,618,http,web_noise
nl,v1,736,0.000,digit
nl,v1,810,00e,digit
nl,v1,856,000.000,digit
nl,v1,933,"0,00",digit
nl,v1,1206,"00,0",digit
nl,v1,1220,"00,00",digit
nl,v1,1310,00000,digit
nl,v1,1332,°,punctuation
nl,v1,1492,1e,digit
nl,v1,1493,2e,digit
nl,v1,1511,o.a,contains_dot
nl,v1,1810,0.00,digit
nl,v1,2044,00px,digit
nl,v1,2416,3e,digit
nl,v1,2459,00.0,digit
nl,v1,2513,00ste,digit
nl,v1,2577,https,web_noise
nl,v1,2885,00de,digit
nl,v1,2945,a00,digit
nl,v1,2977,t.co,contains_dot
