language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
pl,v1,1,1,1,w,w,w,unknown,w,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,2,2,i,i,i,unknown,i,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,3,3,nie,nie,nie,unknown,nie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,4,4,na,na,na,unknown,na,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,5,5,się,się,się,unknown,się,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,6,6,to,to,to,unknown,to,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,7,7,z,z,z,unknown,z,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,8,8,do,do,do,unknown,do,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,9,9,jest,jest,jest,unknown,jest,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,10,10,że,że,że,unknown,że,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,11,12,o,o,o,unknown,o,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,12,13,jak,jak,jak,unknown,jak,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,13,14,a,a,a,unknown,a,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,14,15,ale,ale,ale,unknown,ale,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,15,16,co,co,co,unknown,co,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,16,17,tak,tak,tak,unknown,tak,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,17,18,za,za,za,unknown,za,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,18,19,od,od,od,unknown,od,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,19,20,po,po,po,unknown,po,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,20,22,dla,dla,dla,unknown,dla,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,21,23,tym,tym,tym,unknown,tym,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,22,24,czy,czy,czy,unknown,czy,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,23,25,przez,przez,przez,unknown,przez,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,24,26,tego,tego,tego,unknown,tego,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,25,27,są,są,są,unknown,są,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,26,28,ma,ma,ma,unknown,ma,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,27,29,tylko,tylko,tylko,unknown,tylko,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,28,30,już,już,już,unknown,już,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,29,31,mi,mi,mi,unknown,mi,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,30,32,mnie,mnie,mnie,unknown,mnie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,31,33,ze,ze,ze,unknown,ze,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,32,34,może,może,może,unknown,może,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,33,36,bo,bo,bo,unknown,bo,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,34,37,ja,ja,ja,unknown,ja,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,35,38,ten,ten,ten,unknown,ten,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,36,39,oraz,oraz,oraz,unknown,oraz,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,37,40,bardzo,bardzo,bardzo,unknown,bardzo,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,38,41,będzie,będzie,będzie,unknown,będzie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,39,42,być,być,być,unknown,być,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,40,43,jego,jego,jego,unknown,jego,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,41,44,by,by,by,unknown,by,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,42,45,sobie,sobie,sobie,unknown,sobie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,43,46,ich,ich,ich,unknown,ich,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,44,47,mam,mam,mam,unknown,mam,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,45,48,jeśli,jeśli,jeśli,unknown,jeśli,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,46,49,roku,roku,roku,unknown,roku,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,47,50,też,też,też,unknown,też,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,48,51,jeszcze,jeszcze,jeszcze,unknown,jeszcze,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,49,52,był,był,był,unknown,był,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,50,53,które,które,które,unknown,które,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,51,54,jako,jako,jako,unknown,jako,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,52,55,jestem,jestem,jestem,unknown,jestem,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,53,56,było,było,było,unknown,było,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,54,57,jej,jej,jej,unknown,jej,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,55,58,kiedy,kiedy,kiedy,unknown,kiedy,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,56,59,który,który,który,unknown,który,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,57,60,nawet,nawet,nawet,unknown,nawet,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,58,61,teraz,teraz,teraz,unknown,teraz,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,59,62,go,go,go,unknown,go,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,60,63,no,no,no,unknown,no,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,61,64,pod,pod,pod,unknown,pod,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,62,65,coś,coś,coś,unknown,coś,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,63,69,ci,ci,ci,unknown,ci,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,64,70,lat,lat,lat,unknown,lat,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,65,71,tam,tam,tam,unknown,tam,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,66,72,te,te,te,unknown,te,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,67,73,więc,więc,więc,unknown,więc,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,68,74,gdy,gdy,gdy,unknown,gdy,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,69,75,gdzie,gdzie,gdzie,unknown,gdzie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,70,76,tej,tej,tej,unknown,tej,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,71,77,bez,bez,bez,unknown,bez,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,72,78,żeby,żeby,żeby,unknown,żeby,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,73,79,jednak,jednak,jednak,unknown,jednak,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,74,80,lub,lub,lub,unknown,lub,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,75,81,wiem,wiem,wiem,unknown,wiem,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,76,82,nic,nic,nic,unknown,nic,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,77,83,wszystko,wszystko,wszystko,unknown,wszystko,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,78,84,można,można,można,unknown,można,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,79,85,przy,przy,przy,unknown,przy,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,80,86,ludzie,ludzie,ludzie,unknown,ludzie,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,81,87,przed,przed,przed,unknown,przed,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,82,88,więcej,więcej,więcej,unknown,więcej,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,83,89,chyba,chyba,chyba,unknown,chyba,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,84,90,ludzi,ludzi,ludzi,unknown,ludzi,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,85,91,nas,nas,nas,unknown,nas,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,86,92,także,także,także,unknown,także,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,87,93,tu,tu,tu,unknown,tu,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
pl,v1,1,88,94,on,on,on,unknown,on,wordfreq:pl,wordfreq_seeded;deterministically_filtered;structurally_curated
