language,frequency_list_version,source_rank,token,reason_code
pl,v1,11,00,digit
pl,v1,21,0000,digit
pl,v1,35,000,digit
pl,v1,66,1,digit
pl,v1,67,2,digit
pl,v1,68,3,digit
pl,v1,114,5,digit
pl,v1,121,4,digit
pl,v1,211,6,digit
pl,v1,246,7,digit
pl,v1,253,8,digit
pl,v1,359,9,digit
pl,v1,401,"0,0",digit
pl,v1,530,http,web_noise
pl,v1,537,0,digit
pl,v1,576,m.in,contains_dot
pl,v1,586,0.0,digit
pl,v1,1084,google,punctuation
pl,v1,1096,°,punctuation
pl,v1,1219,00.00,digit
pl,v1,1355,"0,00",digit
pl,v1,1392,"00,0",digit
pl,v1,1740,00000,digit
pl,v1,1796,00.00.0000,digit
pl,v1,2186,"00,00",digit
pl,v1,2521,t.co,contains_dot
pl,v1,2730,0.00,digit
pl,v1,2747,https,web_noise
