language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
pt,v1,1,1,1,de,de,de,unknown,de,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,2,2,a,a,a,unknown,a,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,3,3,o,o,o,unknown,o,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,4,4,que,que,que,unknown,que,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,5,5,e,e,e,unknown,e,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,6,6,do,do,do,unknown,do,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,7,7,em,em,em,unknown,em,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,8,8,da,da,da,unknown,da,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,9,9,é,é,é,unknown,é,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,10,10,para,para,para,unknown,para,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,11,11,não,não,não,unknown,não,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,12,12,um,um,um,unknown,um,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,13,13,uma,uma,uma,unknown,uma,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,14,14,com,com,com,unknown,com,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,15,15,no,no,no,unknown,no,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,16,16,se,se,se,unknown,se,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,17,17,na,na,na,unknown,na,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,18,18,por,por,por,unknown,por,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,19,19,os,os,os,unknown,os,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,20,20,eu,eu,eu,unknown,eu,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,21,22,como,como,como,unknown,como,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,22,23,as,as,as,unknown,as,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,23,24,mais,mais,mais,unknown,mais,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,24,25,dos,dos,dos,unknown,dos,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,25,26,mas,mas,mas,unknown,mas,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,26,27,foi,foi,foi,unknown,foi,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,27,28,ao,ao,ao,unknown,ao,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,28,29,me,me,me,unknown,me,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,29,31,você,você,você,unknown,você,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,30,32,ser,ser,ser,unknown,ser,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,31,33,seu,seu,seu,unknown,seu,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,32,34,sua,sua,sua,unknown,sua,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,33,35,tem,tem,tem,unknown,tem,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,34,36,são,são,são,unknown,são,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,35,37,das,das,das,unknown,das,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,36,38,ou,ou,ou,unknown,ou,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,37,39,à,à,à,unknown,à,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,38,40,ele,ele,ele,unknown,ele,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,39,41,muito,muito,muito,unknown,muito,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,40,42,isso,isso,isso,unknown,isso,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,41,43,já,já,já,unknown,já,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,42,44,nos,nos,nos,unknown,nos,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,43,45,também,também,também,unknown,também,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,44,46,quando,quando,quando,unknown,quando,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,45,47,está,está,está,unknown,está,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,46,48,meu,meu,meu,unknown,meu,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,47,49,pelo,pelo,pelo,unknown,pelo,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,48,50,ela,ela,ela,unknown,ela,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
