language,frequency_list_version,source_rank,token,reason_code
pt,v1,21,00,digit
pt,v1,30,0000,digit
pt,v1,70,000,digit
pt,v1,111,1,digit
pt,v1,118,2,digit
pt,v1,130,3,digit
pt,v1,197,4,digit
pt,v1,201,5,digit
pt,v1,276,6,digit
pt,v1,286,7,digit
pt,v1,310,8,digit
pt,v1,436,9,digit
pt,v1,550,"0,0",digit
pt,v1,597,0.000,digit
pt,v1,668,0.0,digit
pt,v1,693,facebook,punctuation
pt,v1,755,0,digit
pt,v1,794,http,web_noise
pt,v1,1006,°,punctuation
pt,v1,1031,00h,digit
pt,v1,1045,"0,00",digit
pt,v1,1113,"00,0",digit
pt,v1,1114,00.000,digit
pt,v1,1277,"00,00",digit
pt,v1,1387,1º,digit
pt,v1,1504,google,punctuation
pt,v1,1743,00º,digit
pt,v1,2226,00000,digit
pt,v1,2312,00h00,digit
pt,v1,2313,00ª,digit
pt,v1,2565,♪,punctuation
pt,v1,2772,000.000,digit
pt,v1,2773,1ª,digit
pt,v1,2774,2º,digit
pt,v1,2964,https,web_noise
