language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
ro,v1,1,1,1,de,de,de,unknown,de,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,2,2,în,în,în,unknown,în,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,3,3,și,și,și,unknown,și,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,4,4,a,a,a,unknown,a,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,5,5,la,la,la,unknown,la,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,6,6,să,să,să,unknown,să,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,7,7,din,din,din,unknown,din,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,8,8,o,o,o,unknown,o,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,9,9,pe,pe,pe,unknown,pe,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,10,10,cu,cu,cu,unknown,cu,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,11,11,nu,nu,nu,unknown,nu,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,12,12,mai,mai,mai,unknown,mai,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,13,13,un,un,un,unknown,un,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,14,15,este,este,este,unknown,este,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,15,16,că,că,că,unknown,că,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,16,17,care,care,care,unknown,care,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,17,18,pentru,pentru,pentru,unknown,pentru,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,18,20,se,se,se,unknown,se,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,19,21,au,au,au,unknown,au,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,20,22,ce,ce,ce,unknown,ce,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,21,23,fost,fost,fost,unknown,fost,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,22,24,ca,ca,ca,unknown,ca,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,23,25,al,al,al,unknown,al,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,24,26,am,am,am,unknown,am,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,25,27,sunt,sunt,sunt,unknown,sunt,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,26,28,fi,fi,fi,unknown,fi,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,27,29,si,si,si,unknown,si,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,28,30,va,va,va,unknown,va,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,29,31,s,s,s,unknown,s,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,30,32,lui,lui,lui,unknown,lui,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,31,33,dar,dar,dar,unknown,dar,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,32,35,sau,sau,sau,unknown,sau,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,33,36,e,e,e,unknown,e,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,34,37,sa,sa,sa,unknown,sa,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,35,38,dacă,dacă,dacă,unknown,dacă,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,36,39,după,după,după,unknown,după,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,37,40,i,i,i,unknown,i,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,38,41,ne,ne,ne,unknown,ne,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,39,42,ar,ar,ar,unknown,ar,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,40,43,le,le,le,unknown,le,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,41,44,poate,poate,poate,unknown,poate,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,42,45,prin,prin,prin,unknown,prin,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,43,46,cum,cum,cum,unknown,cum,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,44,47,când,când,când,unknown,când,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,45,48,ale,ale,ale,unknown,ale,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,46,49,in,in,in,unknown,in,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,47,50,despre,despre,despre,unknown,despre,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,48,51,era,era,era,unknown,era,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,49,52,iar,iar,iar,unknown,iar,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,50,53,mult,mult,mult,unknown,mult,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,51,54,are,are,are,unknown,are,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,52,55,l,l,l,unknown,l,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
ro,v1,1,53,56,ai,ai,ai,unknown,ai,wordfreq:ro,wordfreq_seeded;deterministically_filtered;structurally_curated
