language,frequency_list_version,source_rank,token,reason_code
ro,v1,14,00,digit
ro,v1,19,0000,digit
ro,v1,34,000,digit
ro,v1,69,1,digit
ro,v1,83,2,digit
ro,v1,97,3,digit
ro,v1,130,4,digit
ro,v1,131,5,digit
ro,v1,160,6,digit
ro,v1,210,7,digit
ro,v1,230,8,digit
ro,v1,255,0.000,digit
ro,v1,264,"0,0",digit
ro,v1,284,9,digit
ro,v1,357,00.000,digit
ro,v1,522,0,digit
ro,v1,538,"00,0",digit
ro,v1,577,"0,00",digit
ro,v1,594,000.000,digit
ro,v1,866,0.0,digit
ro,v1,914,"00,00",digit
ro,v1,1284,http,web_noise
ro,v1,1656,00000,digit
ro,v1,1818,0.00,digit
ro,v1,2545,°,punctuation
ro,v1,2548,00.0,digit
ro,v1,2880,00.00.0000,digit
