language,frequency_list_version,source_rank,token,reason_code
ru,v1,7,00,digit
ru,v1,13,0000,digit
ru,v1,16,000,digit
ru,v1,38,1,digit
ru,v1,48,2,digit
ru,v1,65,3,digit
ru,v1,87,5,digit
ru,v1,103,4,digit
ru,v1,127,"0,0",digit
ru,v1,130,6,digit
ru,v1,141,7,digit
ru,v1,156,8,digit
ru,v1,166,№,punctuation
ru,v1,192,"00,0",digit
ru,v1,193,9,digit
ru,v1,259,0,digit
ru,v1,402,"0,00",digit
ru,v1,415,00000,digit
ru,v1,567,0.0,digit
ru,v1,616,00.00.0000,digit
ru,v1,672,°,punctuation
ru,v1,842,"00,00",digit
ru,v1,904,00.00,digit
ru,v1,1066,"000,0",digit
ru,v1,1232,http,web_noise
ru,v1,1790,000000,digit
ru,v1,1826,0.00,digit
ru,v1,1934,00.00.00,digit
ru,v1,2443,"0,000",digit
ru,v1,2546,00.0,digit
ru,v1,2606,google,punctuation
ru,v1,2717,apple,punctuation
ru,v1,2778,facebook,punctuation
