language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
sv,v1,1,1,1,är,är,är,unknown,är,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,2,2,det,det,det,unknown,det,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,3,3,att,att,att,unknown,att,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,4,4,och,och,och,unknown,och,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,5,5,i,i,i,unknown,i,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,6,6,jag,jag,jag,unknown,jag,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,7,7,på,på,på,unknown,på,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,8,8,en,en,en,unknown,en,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,9,9,inte,inte,inte,unknown,inte,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,10,10,som,som,som,unknown,som,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,11,11,för,för,för,unknown,för,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,12,12,med,med,med,unknown,med,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,13,13,har,har,har,unknown,har,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,14,14,av,av,av,unknown,av,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,15,15,om,om,om,unknown,om,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,16,16,du,du,du,unknown,du,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,17,17,så,så,så,unknown,så,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,18,18,till,till,till,unknown,till,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,19,19,den,den,den,unknown,den,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,20,20,de,de,de,unknown,de,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,21,21,ett,ett,ett,unknown,ett,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,22,22,kan,kan,kan,unknown,kan,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,23,23,vi,vi,vi,unknown,vi,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,24,24,men,men,men,unknown,men,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,25,26,man,man,man,unknown,man,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,26,27,var,var,var,unknown,var,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,27,28,ska,ska,ska,unknown,ska,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,28,29,när,när,när,unknown,när,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,29,30,nu,nu,nu,unknown,nu,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
