language,frequency_list_version,source_rank,token,reason_code
sv,v1,25,00,digit
sv,v1,47,0000,digit
sv,v1,67,000,digit
sv,v1,112,1,digit
sv,v1,116,2,digit
sv,v1,133,3,digit
sv,v1,190,4,digit
sv,v1,212,5,digit
sv,v1,316,6,digit
sv,v1,354,7,digit
sv,v1,398,"0,0",digit
sv,v1,405,8,digit
sv,v1,468,9,digit
sv,v1,557,0,digit
sv,v1,612,00.00,digit
sv,v1,937,facebook,punctuation
sv,v1,975,t.ex,contains_dot
sv,v1,1033,"00,0",digit
sv,v1,1059,0.0,digit
sv,v1,1375,00000,digit
sv,v1,1493,http,web_noise
sv,v1,1618,°,punctuation
sv,v1,1620,"0,00",digit
sv,v1,1799,bl.a,contains_dot
sv,v1,1827,0.00,digit
sv,v1,1876,google,punctuation
sv,v1,2086,trump,punctuation
sv,v1,2173,000000,digit
sv,v1,2824,https,web_noise
sv,v1,2876,00.000,digit
