language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
tr,v1,1,1,1,ve,ve,ve,unknown,ve,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,2,2,bir,bir,bir,unknown,bir,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,3,4,bu,bu,bu,unknown,bu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,4,5,için,için,için,unknown,için,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,5,6,de,de,de,unknown,de,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,6,8,da,da,da,unknown,da,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,7,9,çok,çok,çok,unknown,çok,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,8,10,ile,ile,ile,unknown,ile,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,9,12,ne,ne,ne,unknown,ne,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,10,13,daha,daha,daha,unknown,daha,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,11,14,en,en,en,unknown,en,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,12,15,gibi,gibi,gibi,unknown,gibi,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,13,16,olarak,olarak,olarak,unknown,olarak,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,14,17,her,her,her,unknown,her,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,15,18,kadar,kadar,kadar,unknown,kadar,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,16,19,o,o,o,unknown,o,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,17,20,olan,olan,olan,unknown,olan,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,18,21,ben,ben,ben,unknown,ben,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,19,22,var,var,var,unknown,var,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,20,23,ama,ama,ama,unknown,ama,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,21,24,sonra,sonra,sonra,unknown,sonra,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,22,25,ki,ki,ki,unknown,ki,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,23,26,iyi,iyi,iyi,unknown,iyi,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,24,27,yok,yok,yok,unknown,yok,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,25,28,ya,ya,ya,unknown,ya,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,26,30,değil,değil,değil,unknown,değil,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,27,32,sen,sen,sen,unknown,sen,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,28,33,büyük,büyük,büyük,unknown,büyük,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,29,35,yeni,yeni,yeni,unknown,yeni,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,30,36,güzel,güzel,güzel,unknown,güzel,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,31,37,sadece,sadece,sadece,unknown,sadece,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,32,38,zaman,zaman,zaman,unknown,zaman,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,33,39,ilk,ilk,ilk,unknown,ilk,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,34,40,iki,iki,iki,unknown,iki,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,35,41,mi,mi,mi,unknown,mi,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,36,42,hiç,hiç,hiç,unknown,hiç,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,37,43,ise,ise,ise,unknown,ise,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,38,44,oldu,oldu,oldu,unknown,oldu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,39,45,bile,bile,bile,unknown,bile,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,40,46,nasıl,nasıl,nasıl,unknown,nasıl,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,41,47,şey,şey,şey,unknown,şey,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,42,48,benim,benim,benim,unknown,benim,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,43,49,böyle,böyle,böyle,unknown,böyle,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,44,50,son,son,son,unknown,son,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,45,51,tek,tek,tek,unknown,tek,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,46,52,gün,gün,gün,unknown,gün,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,47,53,tüm,tüm,tüm,unknown,tüm,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,48,54,yer,yer,yer,unknown,yer,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,49,55,önce,önce,önce,unknown,önce,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,50,56,artık,artık,artık,unknown,artık,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,51,57,göre,göre,göre,unknown,göre,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,52,58,mı,mı,mı,unknown,mı,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,53,59,seni,seni,seni,unknown,seni,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,54,60,beni,beni,beni,unknown,beni,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,55,61,türkiye,türkiye,türkiye,unknown,türkiye,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,56,62,aynı,aynı,aynı,unknown,aynı,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,57,63,bana,bana,bana,unknown,bana,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,58,64,tarafından,tarafından,tarafından,unknown,tarafından,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,59,65,türk,türk,türk,unknown,türk,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,60,66,doğru,doğru,doğru,unknown,doğru,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,61,67,veya,veya,veya,unknown,veya,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,62,68,biz,biz,biz,unknown,biz,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,63,69,olduğunu,olduğunu,olduğunu,unknown,olduğunu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,64,71,diye,diye,diye,unknown,diye,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,65,72,kendi,kendi,kendi,unknown,kendi,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,66,73,olduğu,olduğu,olduğu,unknown,olduğu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,67,74,olur,olur,olur,unknown,olur,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,68,76,d,d,d,unknown,d,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,69,77,şu,şu,şu,unknown,şu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,70,78,birlikte,birlikte,birlikte,unknown,birlikte,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,71,79,devam,devam,devam,unknown,devam,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,72,80,diğer,diğer,diğer,unknown,diğer,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,73,81,sana,sana,sana,unknown,sana,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,74,82,fazla,fazla,fazla,unknown,fazla,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,75,83,neden,neden,neden,unknown,neden,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,76,84,a,a,a,unknown,a,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,77,85,önemli,önemli,önemli,unknown,önemli,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,78,86,yıl,yıl,yıl,unknown,yıl,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,79,87,içinde,içinde,içinde,unknown,içinde,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,80,88,olmak,olmak,olmak,unknown,olmak,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,81,89,şimdi,şimdi,şimdi,unknown,şimdi,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,82,90,çünkü,çünkü,çünkü,unknown,çünkü,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,83,91,ancak,ancak,ancak,unknown,ancak,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,84,92,başka,başka,başka,unknown,başka,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,85,93,biri,biri,biri,unknown,biri,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,86,94,bunu,bunu,bunu,unknown,bunu,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,87,95,işte,işte,işte,unknown,işte,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,88,96,olsun,olsun,olsun,unknown,olsun,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,89,97,karşı,karşı,karşı,unknown,karşı,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,90,98,arasında,arasında,arasında,unknown,arasında,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,91,99,insanlar,insanlar,insanlar,unknown,insanlar,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,92,100,öyle,öyle,öyle,unknown,öyle,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,93,101,şekilde,şekilde,şekilde,unknown,şekilde,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,94,102,bütün,bütün,bütün,unknown,bütün,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,95,103,istanbul,istanbul,istanbul,unknown,istanbul,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,96,104,iş,iş,iş,unknown,iş,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,97,105,senin,senin,senin,unknown,senin,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,98,106,dünya,dünya,dünya,unknown,dünya,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,99,107,genel,genel,genel,unknown,genel,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,100,108,hemen,hemen,hemen,unknown,hemen,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,101,109,yine,yine,yine,unknown,yine,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,102,110,adam,adam,adam,unknown,adam,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,103,111,siz,siz,siz,unknown,siz,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,104,112,tam,tam,tam,unknown,tam,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,105,113,uzun,uzun,uzun,unknown,uzun,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,106,114,bizim,bizim,bizim,unknown,bizim,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
tr,v1,1,107,115,bugün,bugün,bugün,unknown,bugün,wordfreq:tr,wordfreq_seeded;deterministically_filtered;needs_human_review
