language,frequency_list_version,source_rank,token,reason_code
tr,v1,3,00,digit
tr,v1,7,0000,digit
tr,v1,11,000,digit
tr,v1,29,1,digit
tr,v1,31,2,digit
tr,v1,34,3,digit
tr,v1,70,4,digit
tr,v1,75,5,digit
tr,v1,117,6,digit
tr,v1,118,7,digit
tr,v1,160,8,digit
tr,v1,222,9,digit
tr,v1,303,0.0,digit
tr,v1,339,0,digit
tr,v1,486,"0,0",digit
tr,v1,500,00.00,digit
tr,v1,618,0.00,digit
tr,v1,772,http,web_noise
tr,v1,847,00.000,digit
tr,v1,1020,"0,00",digit
tr,v1,1092,"00,0",digit
tr,v1,1166,00000,digit
tr,v1,1191,0.000,digit
tr,v1,1282,00.0,digit
tr,v1,1530,https,web_noise
tr,v1,1714,00.00.0000,digit
tr,v1,2096,"00,00",digit
tr,v1,2316,000.000,digit
tr,v1,2413,t.c,contains_dot
tr,v1,2792,°,punctuation
tr,v1,2798,"0,000",digit
tr,v1,2940,"00,000",digit
