language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
zh,v1,1,1,1,的,的,的,unknown,的,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,2,2,是,是,是,unknown,是,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,3,3,在,在,在,unknown,在,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,4,4,了,了,了,unknown,了,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,5,5,我,我,我,unknown,我,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,6,7,和,和,和,unknown,和,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,7,8,有,有,有,unknown,有,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,8,9,不,不,不,unknown,不,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,9,10,人,人,人,unknown,人,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,10,12,也,也,也,unknown,也,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,11,13,你,你,你,unknown,你,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,12,14,为,为,为,unknown,为,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,13,15,他,他,他,unknown,他,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,14,16,这,这,这,unknown,这,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,15,17,中,中,中,unknown,中,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,16,18,与,与,与,unknown,与,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,17,19,年,年,年,unknown,年,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,18,20,对,对,对,unknown,对,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,19,21,就,就,就,unknown,就,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,20,22,都,都,都,unknown,都,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,21,23,一个,一个,一个,unknown,一个,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,22,24,上,上,上,unknown,上,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,23,25,说,说,说,unknown,说,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,24,26,吗,吗,吗,unknown,吗,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,25,27,我们,我们,我们,unknown,我们,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,26,29,会,会,会,unknown,会,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,27,30,到,到,到,unknown,到,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,28,31,要,要,要,unknown,要,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,29,32,来,来,来,unknown,来,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
zh,v1,1,30,33,中国,中国,中国,unknown,中国,wordfreq:zh,wordfreq_seeded;deterministically_filtered;structurally_curated;simplified_normalized
