language,frequency_list_version,source_rank,token,reason_code
zh,v1,6,00,digit
zh,v1,11,0000,digit
zh,v1,28,000,digit
zh,v1,85,3,digit
zh,v1,93,1,digit
zh,v1,106,2,digit
zh,v1,119,5,digit
zh,v1,152,4,digit
zh,v1,158,8,digit
zh,v1,193,a,non_han
zh,v1,201,6,digit
zh,v1,203,the,non_han
zh,v1,218,7,digit
zh,v1,253,9,digit
zh,v1,357,s,non_han
zh,v1,387,0.0,digit
zh,v1,506,of,non_han
zh,v1,531,t,non_han
zh,v1,546,00%,digit
zh,v1,569,0.00,digit
zh,v1,592,0,digit
zh,v1,604,00000,digit
zh,v1,605,and,non_han
zh,v1,622,m,non_han
zh,v1,665,in,non_han
zh,v1,691,b,non_han
zh,v1,708,i,non_han
zh,v1,785,c,non_han
zh,v1,786,com,non_han
zh,v1,861,l,non_han
zh,v1,1003,000000,digit
zh,v1,1055,n,non_han
zh,v1,1102,00.0,digit
zh,v1,1132,o,non_han
zh,v1,1206,p,non_han
zh,v1,1207,to,non_han
zh,v1,1232,d,non_han
zh,v1,1284,h,non_han
zh,v1,1319,for,non_han
zh,v1,1352,e,non_han
zh,v1,1353,x,non_han
zh,v1,1399,00.00,digit
zh,v1,1431,on,non_han
zh,v1,1573,r,non_han
zh,v1,1696,v,non_han
zh,v1,1757,w,non_han
zh,v1,1797,y,non_han
zh,v1,1867,by,non_han
zh,v1,1868,google,non_han
zh,v1,1869,и,non_han
zh,v1,1909,g,non_han
zh,v1,1910,http,web_noise
zh,v1,2026,at,non_han
zh,v1,2108,facebook,non_han
zh,v1,2149,°,non_han
zh,v1,2150,─,non_han
zh,v1,2190,app,non_han
zh,v1,2266,k,non_han
zh,v1,2267,www,web_noise
zh,v1,2314,de,non_han
zh,v1,2367,f,non_han
zh,v1,2368,new,non_han
zh,v1,2369,é,non_han
zh,v1,2409,world,non_han
zh,v1,2551,it,non_han
zh,v1,2552,my,non_han
zh,v1,2553,twitter,non_han
zh,v1,2603,from,non_han
zh,v1,2685,瞭解,duplicate_lemma_key
zh,v1,2701,is,non_han
zh,v1,2814,j,non_han
zh,v1,2877,me,non_han
zh,v1,2878,u,non_han
zh,v1,2879,you,non_han
zh,v1,2991,q,non_han
zh,v1,3054,ios,non_han
