순위	단어	품사	풀이	등급
25	가다01	동		A
22	같다	형		A
20	거01	의	것	A
1	것01	의		A
807	공부하다	동	工夫-	A
252	글	명		B
8	나03	대		A
1291	날씨01	명		A
3520	내일	부	來日	A
46	더01	부		A
5	되다01	동	어른이 ~	A
88	듣다01	동	소리를 ~	A
365	마시다	동		A
161	말다03	보		A
70	먹다02	동	밥을 ~	A
207	못04	부		A
469	문05	명	門	A
165	물01	명	바닷~	A
868	바쁘다	형		A
276	밤01	명	어두운 때	A
353	밥01	명	~을 먹다	A
21	보다01	보		A
17	보다01	동		A
592	비01	명	~가 내리다	A
613	빠르다	형		A
55	살다01	동		A
204	선생님	명	先生-	A
6	수02	의	방법	A
7561	숟가락	명		A
246	쉽다	형		A
92	싶다	보		A
169	쓰다01	동	글씨를 ~	A
16	아니다	형		A
44	안02	부	아니	A
183	앉다	동		A
5033	앉히다	동		C
11	않다	보		A
36	알다	동		A
2138	어제01	부		A
2252	어제01	명	어저께	A
10	없다01	형		A
144	여기01	대		A
287	열다02	동	문을 ~	A
436	열리다02	동	문이 ~	B
544	오늘	부		A
310	오늘	명		A
35	오다01	동		A
586	음악01	명	音樂	A
14	이05	관		A
209	읽다	동		A
888	있다01	동		A
3	있다01	보		A
4	있다01	형		A
541	자다01	동		A
259	작다01	형		A
56	저03	대	일인칭 대명사	A
363	적03	의		B
45	좋다01	형		A
438	좋아하다	동		A
23	주다01	보		A
101	주다01	동		A
195	지금03	부	只今	A
49	집01	명		A
247	짓다01	동		B
215	책01	명	冊	A
1654	춥다	형		A
147	친구02	명	親舊	A
39	크다01	형		A
3506	파랗다	형		B
657	팔다	동		A
344	하늘01	명		A
7	하다01	보		A
2	하다01	동		A
125	학교	명	學校	A
238	학생	명	學生	A
